Primary address,Secondary address,lat_grid,lon_grid
7900 not reported hwy,w slaughter ln,30.169,-97.785
park bend dr,renfert way,30.409,-97.706
5200 birch creek rd,meadow crest,30.192,-97.734
3100 s mopac expy,300 s capital of tx hwy,30.389,-97.735
1500 w william cannon dr,woodhue dr,30.201,-97.8
4300 w slaughter ln,4300 e bremmer dr,30.193,-97.858
6200 mcneil dr,131000 marble falls cv,30.443,-97.745
600 w 28th st,2800 nueces st,30.293,-97.743
7939 shoal creek blvd blvd,7900 great northern blvd blvd,30.362,-97.74
7912 not reported,not reported,30.229,-97.888
1000 not reported hwy,1000 e riverside dr,30.249,-97.735
w 12th st,lavaca st,30.274,-97.743
2600 allandale rd,nasco dr,30.336,-97.746
8300 not reported,e wonsley dr,30.343,-97.698
3700 s mopac expy,3000 s capital of texas hwy,30.388,-97.735
not reported hwy,not reported,30.234,-97.875
10000 not reported,great hills trl,30.394,-97.746
1120 chicon st st,tillotson ave ave,30.267,-97.72
3600 montopolis dr,6200 burleson rd,30.206,-97.717
6310 thurgood ave,1100 thurgood circle cir,30.262,-97.676
13600 not reported hwy,w howard ln,30.424,-97.672
11700 research blvd svrd sb,5400 duval rd,30.419,-97.747
9260 not reported hwy,springdale rd rd,30.33,-97.637
6300 w slaughter ln,9600 vinemont dr,30.203,-97.885
1700 w parmer ln,metric blvd,30.413,-97.691
9400 burnet rd,9200 waterford centre blvd,30.378,-97.725
4500 not reported fwy,n 45th st,30.304,-97.714
2625 s capital of texas hwy,stoneridge rd,30.325,-97.813
3400 redbud trl,redbud isle,30.292,-97.788
8200 n n lamar blvd blvd,w w powell ln ln,30.351,-97.709
6503 moonglow dr,7000 astro view dr,30.297,-97.645
3800 n lamar blvd blvd,1000 w 38th st st,30.305,-97.743
4100 s ih35 nb svc rd,e ben white blvd,30.216,-97.753
not reported,e slaughter ln,30.167,-97.786
6900 brodie ln,3601 w william cannon dr,30.216,-97.829
2800 not reported hwy,e oltorf st,30.236,-97.74
1800 parmer ln,dessau rd,30.386,-97.647
6500 way ln,southbay ln,30.188,-97.897
8800 not reported,rundberg ln,30.352,-97.692
1305 e braker ln,dessau rd,30.373,-97.666
9600 w parmer ln,spectrum dr,30.485,-97.769
11615 manchaca rd,1412 mooreland dr,30.151,-97.833
1600 pine knoll dr dr,cripple creek dr dr,30.381,-97.704
1000 airport blvd,bolm rd,30.259,-97.694
12300 not reported rd,deerbrook trl,30.464,-97.812
800 e stassney ln,mira dr,30.201,-97.768
not reported hwy,e 7th st,30.267,-97.734
4500 n vinson dr,philco dr,30.22,-97.778
8800 not reported hwy,e slaughter ln,30.169,-97.785
not reported expy,not reported,30.249,-97.805
4300 not reported hwy,hudson st,30.269,-97.67
not reported,e st johns ave,30.333,-97.704
nw congress ave,woodward,30.23,-97.76
9500 n lamar blvd,rutland dr,30.364,-97.696
6300 not reported hwy,patton ranch rd,30.235,-97.862
w howard ln,not reported,30.424,-97.672
3100 s lamar blvd,2300 westoak dr,30.242,-97.785
4400 w slaughter ln,4300 bremner dr,30.193,-97.858
8000 s mopac expy nb expy,davis ln,30.212,-97.858
5600 not reported,1700 e stassney ln,30.198,-97.764
